question_text,answera,answerb,answerc,answerd,correctanswer
What is the time complexity of binary search?,O(n),O(log n),O(n^2),O(1),b
Which data structure uses LIFO principle?,Queue,Tree,Stack,Linked List,c
What is the worst-case time complexity of quicksort?,O(n),O(log n),O(n log n),O(n^2),d
Which of these is not a linear data structure?,Array,Queue,Stack,Tree,d
What is the time complexity of inserting an element at the end of an array?,O(1),O(n),O(log n),O(n^2),a
Which sorting algorithm has the best average-case time complexity?,Bubble Sort,Insertion Sort,Merge Sort,Selection Sort,c
What is the space complexity of depth-first search (DFS)?,O(1),O(n),O(log n),O(n^2),b
Which data structure is best for implementing a priority queue?,Array,Linked List,Binary Heap,Stack,c
What is the time complexity of searching in a balanced binary search tree?,O(1),O(n),O(log n),O(n^2),c
Which algorithm is used to find the shortest path in a weighted graph?,Dijkstra's,Bubble Sort,Binary Search,Insertion Sort,a
What is the purpose of hashing in data structures?,Sorting,Searching,Encryption,All of the above,d
Which of these is not an in-place sorting algorithm?,Bubble Sort,Selection Sort,Merge Sort,Insertion Sort,c
What is the time complexity of accessing an element in a hash table (average case)?,O(1),O(n),O(log n),O(n^2),a
Which data structure is used to implement recursion?,Queue,Stack,Array,Linked List,b
What is the worst-case time complexity of linear search?,O(1),O(n),O(log n),O(n^2),b
Which of these is not a divide-and-conquer algorithm?,Merge Sort,Quick Sort,Binary Search,Bubble Sort,d
What is the purpose of a sentinel node in a linked list?,To mark the end,To optimize search,To save memory,To enable circular lists,a
Which traversal of a binary tree visits the root first?,In-order,Pre-order,Post-order,Level-order,b
What is the time complexity of the Floyd-Warshall algorithm?,O(n),O(n^2),O(n^3),O(n log n),c
Which data structure is most suitable for implementing an undo feature?,Queue,Stack,Array,Binary Tree,b
